key,label,steps,morans_pearson,gearys_pearson,umap_mixing,marker_field_r,marker_depth_r,celltype_localization
71ed46791167961e:1200,"{'train_steps': 1200, 'w_autocorr': 0.0, 'w_profile': 0.0, 'w_distribution': 0.0}",1200,0.919726,0.870991,0.850077,-0.052714,0.038214,-0.059483
e10a997ec76a0c42:1200,"{'train_steps': 1200, 'w_autocorr': 0.5, 'w_profile': 0.5, 'w_distribution': 0.5}",1200,0.884122,0.856865,0.640189,-0.036907,0.060979,-0.039146
e2870bd54fa1b4a0:2400,"{'train_steps': 2400, 'w_autocorr': 0.0, 'w_profile': 0.0, 'w_distribution': 0.0}",2400,0.931552,0.902194,0.914525,-0.051937,0.019502,-0.050239
96069db48996966e:2400,"{'train_steps': 2400, 'w_autocorr': 0.5, 'w_profile': 0.5, 'w_distribution': 0.5}",2400,0.944793,0.905012,0.925097,-0.045474,0.035068,-0.059102
e12aeeb87e8b0403:2400,"layout_mode=field, prior_mode=correlated, expr_mode=cross-mix",2400,0.833889,0.746070,0.682915,-0.047221,0.002353,-0.059102
9930c75628a07182:2400,"layout_mode=field, prior_mode=correlated, expr_mode=auto-blend",2400,0.944793,0.905012,0.925097,-0.045474,0.035068,-0.059102
95ccb2ee49aa069c:2400,"layout_mode=field, prior_mode=iid, expr_mode=zinb-flow",2400,0.921048,0.863499,0.867707,-0.045569,0.070227,-0.045332
fe49ea9f8ad54bb2:2400,"layout_mode=field, prior_mode=iid, expr_mode=cross-mix",2400,0.823790,0.744636,0.679891,-0.053664,0.019406,-0.045332
cb542c8b99bad560:2400,"layout_mode=field, prior_mode=iid, expr_mode=auto-blend",2400,0.923527,0.884664,0.880502,-0.034943,0.054317,-0.045332
4e913673ed988631:2400,"layout_mode=hybrid, prior_mode=correlated, expr_mode=zinb-flow",2400,0.949727,0.924766,0.940029,-0.053974,0.050318,-0.053202
646e56770bbc930a:2400,"layout_mode=hybrid, prior_mode=correlated, expr_mode=cross-mix",2400,0.847691,0.777064,0.697866,-0.044496,0.011981,-0.053202
ef088fd9f1b12e5f:2400,"layout_mode=hybrid, prior_mode=correlated, expr_mode=auto-blend",2400,0.949727,0.924766,0.940029,-0.053974,0.050318,-0.053202
a0b14526fa565628:2400,"layout_mode=hybrid, prior_mode=iid, expr_mode=zinb-flow",2400,0.928933,0.889870,0.870694,-0.055331,0.061312,-0.056751
